統編,公司名稱,公司地址,ADDR_X,ADDR_Y
00726398,圓藝企業股份有限公司,114臺北市內湖區基湖路35巷49號,307146,2774694
01177119,蜜雪兒開發股份有限公司,114臺北市內湖區瑞光路26巷20弄25號6樓,308718,2773637
01180613,隆電股份有限公司,114臺北市內湖區內湖路1段250號11樓,307169,2774976
01181325,哈帝股份有限公司,114臺北市內湖區堤頂大道2段201號8樓,307329,2774513
01183554,合全產品開發股份有限公司,114臺北市內湖區瑞光路288號3樓,308022,2774325
01187025,優仕咖啡股份有限公司,114臺北市內湖區瑞光路26巷36弄6號2樓,308691,2773573
01189092,啟延電子科技股份有限公司,114臺北市內湖區內湖路1段306號6樓之2,307415,2774952
01193862,馭航股份有限公司,114臺北市內湖區瑞湖街103號5樓之2,308133,2773950
01356605,神谷機工股份有限公司,114臺北市內湖區瑞光路188巷43號8樓,308166,2774101
01458531,可登有聲出版社有限公司,114臺北市內湖區瑞光路298號7樓之1,307966,2774362
01458645,華格生物科技有限公司,114臺北市內湖區堤頂大道2段473號6樓,306722,2774948
01506371,中太科技股份有限公司,114臺北市內湖區陽光街345巷5號2樓之1,308326,2773924
01507907,典業有限公司,114臺北市內湖區洲子街85號5樓之1,307564,2774806
01508624,德技股份有限公司,114臺北市內湖區內湖路1段308號4樓,307400,2774918
01515462,寬友股份有限公司,114臺北市內湖區陽光街345巷16號2樓,308306,2773898
01517124,國眾電腦股份有限公司,114臺北市內湖區陽光街298號3樓,307971,2773947
01518812,振遠科技股份有限公司,114臺北市內湖區瑞光路435號7樓,307614,2774570
01519050,楷成企業股份有限公司,114臺北市內湖區瑞光路478巷20號4樓,307393,2774560
03115006,巨匡影業有限公司,114臺北市內湖區瑞湖街88號8樓,308111,2773912
03156408,中華書局股份有限公司,114臺北市內湖區舊宗路2段181巷6號5樓,307996,2773836
03190623,合騰國際有限公司,114臺北市內湖區洲子街85號4樓,307564,2774806
03195514,宏立有限公司,114臺北市內湖區瑞光路192號9樓,308222,2774179
03250706,和泰股份有限公司,114臺北市內湖區洲子街68號4樓,307711,2774705
03253653,東武有限公司,114臺北市內湖區瑞光路76巷47號6樓,308576,2773706
03273308,昌興貿易股份有限公司,114臺北市內湖區陽光街321巷18號7樓之1,308386,2773940
03378725,培崗有限公司,114臺北市內湖區瑞光路76巷69號3樓,308511,2773650
03436008,景德製藥股份有限公司,114臺北市內湖區港墘路221巷41號4樓,308013,2774021
03484113,瑞順貿易有限公司,114臺北市內湖區瑞光路478巷18弄30號7樓,307278,2774609
03576611,銳昌企業股份有限公司,114臺北市內湖區陽光街321巷12號1樓,308365,2773959
03618703,寶島鐘錶股份有限公司,114臺北市內湖區瑞光路513巷30號6樓,307485,2774750
03626801,佳美貿易股份有限公司,114臺北市內湖區瑞光路302號9樓,307932,2774373
03731206,中國郵報社股份有限公司,114臺北市內湖區瑞湖街111號,308154,2773859
04213933,聖瑪股份有限公司,114臺北市內湖區瑞光路582號8樓之1,307133,2774770
